Title,URL
Zellij: A terminal workspace with batteries included,https://zellij.dev/
"Majorana, the search for the most elusive neutrino of all",https://newscenter.lbl.gov/2012/05/16/majorana-demonstrator/
Helen Keller on her life before self-consciousness,http://scentofdawn.blogspot.com/2011/07/before-soul-dawn-helen-keller-on-her.html
Abusing Go's Infrastructure,https://reverse.put.as/2024/05/24/abusing-go-infrastructure/
People spend more when prices end in .99 (2018),https://kenthendricks.com/99-cent-prices/
Making my dumb A/C smart with Elixir and Nerves,https://www.milanvit.net/post/making-my-dumb-a-c-smart-with-elixir-and-nerves/
Diffusion Models,https://andrewkchan.dev/posts/diffusion.html
"So good, it works on barbed wire (2001)",https://www.sigcon.com/Pubs/edn/SoGoodBarbedWire.htm
Taming floating-point sums,https://orlp.net/blog/taming-float-sums/
Medieval Bologna was full of tall towers,https://www.openculture.com/2024/05/why-medieval-bologna-was-full-of-tall-towers-and-what-happened-to-them.html
